#Diameter(nm)	Abs	Normalised Abs		volume	Normalised			Nb	normalised
917.477	0.000238	0.0046246818		0.218359526	0.0288576922			2.82739564922176E-010	0.0001181444
915.104	0.000241	0.0046829761		0.220540064	0.0291458651			2.8779028891812E-010	0.0001202548
912.748	0.000243	0.004721839		0.221797764	0.0293120787			2.91678550840748E-010	0.0001218796
910.412	0.000245	0.0047607019		0.22305094	0.0294776944			2.95590272208202E-010	0.0001235141
908.089	0.000248	0.0048189962		0.225206072	0.0297625097			3.00742531398489E-010	0.000125667
905.799	0.000252	0.0048967219		0.228261348	0.0301662852			3.07140344466327E-010	0.0001283404
903.505	0.000255	0.0049550162		0.230393775	0.0304480998			3.12377007286035E-010	0.0001305285
901.241	0.000258	0.0050133105		0.232520178	0.0307291184			3.17641928722617E-010	0.0001327285
898.989	0.000261	0.0050716048		0.234636129	0.0310087557			3.22947369792914E-010	0.0001349454
896.756	0.000263	0.0051104677		0.235846828	0.0311687578			3.27044738232607E-010	0.0001366575
894.536	0.000265	0.0051493306		0.23705204	0.0313280347			3.31169420148119E-010	0.0001383811
892.336	0.000267	0.0051881935		0.238253712	0.0314868438			3.35316120390017E-010	0.0001401138
890.156	0.000268	0.0052076249		0.238561808	0.0315275608			3.38222540252542E-010	0.0001413282
887.985	0.000268	0.0052076249		0.23797998	0.0314506683			3.39878376201543E-010	0.0001420201
885.834	0.000269	0.0052270563		0.238289346	0.0314915531			3.42805348603761E-010	0.0001432432
883.696	0.000269	0.0052270563		0.237714224	0.0314155468			3.44466110766705E-010	0.0001439372
881.576	0.000269	0.0052270563		0.237143944	0.0313401805			3.46124836102854E-010	0.0001446303
879.469	0.000269	0.0052270563		0.236577161	0.0312652762			3.47785289460525E-010	0.0001453241
877.374	0.000269	0.0052270563		0.236013606	0.0311907986			3.49448160873986E-010	0.0001460189
875.297	0.000268	0.0052076249		0.234579596	0.0310012845			3.49803309549794E-010	0.0001461673
873.237	0.000267	0.0051881935		0.233154279	0.0308129192			3.50144253715934E-010	0.0001463098
871.191	0.000266	0.005168762		0.231736806	0.0306255905			3.50473250264105E-010	0.0001464473
869.156	0.000266	0.005168762		0.231195496	0.0305540527			3.5211633391226E-010	0.0001471338
867.139	0.000265	0.0051493306		0.229791835	0.0303685494			3.52426401430563E-010	0.0001472634
865.132	0.000264	0.0051298992		0.228394848	0.0301839281			3.52727381508553E-010	0.0001473892
863.141	0.000263	0.0051104677		0.227006083	0.0300003934			3.53014265244724E-010	0.0001475091
861.166	0.000261	0.0050716048		0.224764326	0.02970413			3.51938482766315E-010	0.0001470595
859.201	0.000259	0.005032742		0.222533059	0.0294092529			3.50840900020144E-010	0.0001466009
857.248	0.000257	0.0049938791		0.220312736	0.0291158222			3.49719752380699E-010	0.0001461324
855.312	0.000255	0.0049550162		0.21810456	0.0288239967			3.48570837598502E-010	0.0001456523
853.388	0.000254	0.0049355848		0.216760552	0.028646377			3.48771230223519E-010	0.0001457361
851.477	0.000253	0.0049161534		0.215423681	0.0284697004			3.4895922079977E-010	0.0001458146
849.575	0.000252	0.0048967219		0.2140929	0.0282938287			3.49137978029175E-010	0.0001458893
847.692	0.000251	0.0048772905		0.212770692	0.0281190899			3.49299168927384E-010	0.0001459567
845.82	0.00025	0.004857859		0.211455	0.0279452123			3.49449246545239E-010	0.0001460194
843.96	0.000248	0.0048189962		0.20930208	0.0276606893			3.48183313464758E-010	0.0001454904
842.11	0.000246	0.0047801333		0.20715906	0.0273774747			3.46894534925506E-010	0.0001449519
840.267	0.000245	0.0047607019		0.205865415	0.0272065107			3.47001593293531E-010	0.0001449966
838.444	0.000244	0.0047412704		0.204580336	0.0270366788			3.47089682320629E-010	0.0001450334
836.635	0.000243	0.004721839		0.203302305	0.0268677784			3.47163625847211E-010	0.0001450643
834.837	0.000241	0.0046829761		0.201195717	0.0265893785			3.45790983651388E-010	0.0001444908
833.05	0.00024	0.0046635447		0.199932	0.0264223697			3.45835127908437E-010	0.0001445092
831.268	0.000239	0.0046441132		0.198673052	0.0262559912			3.45872295284257E-010	0.0001445247
829.501	0.000238	0.0046246818		0.197421238	0.0260905555			3.45894080090478E-010	0.0001445338
827.743	0.000236	0.0045858189		0.195347348	0.0258164768			3.44445860247978E-010	0.0001439287
826.006	0.000235	0.0045663875		0.19411141	0.0256531393			3.4443038593416E-010	0.0001439222
824.267	0.000234	0.0045469561		0.192878478	0.0254901989			3.44413393173695E-010	0.0001439151
822.537	0.000232	0.0045080932		0.190828584	0.0252192915			3.42907590964659E-010	0.0001432859
820.832	0.000231	0.0044886618		0.189612192	0.0250585371			3.42849422206706E-010	0.0001432616
819.136	0.00023	0.0044692303		0.18840128	0.0248985068			3.42780264782704E-010	0.0001432327
817.436	0.000229	0.0044497989		0.187192844	0.0247388038			3.42710935096753E-010	0.0001432037
815.763	0.000229	0.0044497989		0.186809727	0.0246881723			3.44118067621076E-010	0.0001437917
814.087	0.000229	0.0044497989		0.186425923	0.02463745			3.45536430927298E-010	0.0001443844
812.431	0.000227	0.004410936		0.184421837	0.0243725965			3.4391639856292E-010	0.0001437075
810.785	0.000227	0.004410936		0.184048195	0.0243232171			3.45314206876799E-010	0.0001442915
809.138	0.000227	0.004410936		0.183674326	0.0242738078			3.46721411398367E-010	0.0001448795
807.514	0.000227	0.004410936		0.183305678	0.0242250885			3.48117403977441E-010	0.0001454629
805.888	0.000226	0.0043915046		0.182130688	0.0240698056			3.47983827908424E-010	0.0001454071
804.285	0.000226	0.0043915046		0.18176841	0.0240219281			3.49372325673905E-010	0.0001459872
802.682	0.000225	0.0043720731		0.18060345	0.0238679707			3.49217074574788E-010	0.0001459224
801.086	0.000226	0.0043915046		0.181045436	0.0239263822			3.52168214320334E-010	0.0001471555
799.504	0.000226	0.0043915046		0.180687904	0.0238791319			3.53563282560649E-010	0.0001477385
797.94	0.000227	0.004410936		0.18113238	0.0239378724			3.56521220326163E-010	0.0001489745
796.377	0.000227	0.004410936		0.180777579	0.0238909831			3.57922038030014E-010	0.0001495598
794.815	0.000226	0.0043915046		0.17962819	0.0237390835			3.5774727125658E-010	0.0001494868
793.274	0.000226	0.0043915046		0.179279924	0.0236930578			3.59138528266592E-010	0.0001500681
791.741	0.000225	0.0043720731		0.178141725	0.0235426371			3.58935362635813E-010	0.0001499832
790.207	0.000225	0.0043720731		0.177796575	0.0234970232			3.60330291515885E-010	0.0001505661
788.696	0.000225	0.0043720731		0.1774566	0.0234520932			3.61712270411219E-010	0.0001511436
787.184	0.000225	0.0043720731		0.1771164	0.0234071334			3.6310313759404E-010	0.0001517247
785.683	0.000225	0.0043720731		0.176778675	0.0233625008			3.64491836143864E-010	0.000152305
784.194	0.000224	0.0043526417		0.175659456	0.0232145884			3.64251197402777E-010	0.0001522045
782.713	0.000223	0.0043332103		0.174544999	0.0230673053			3.63998646685161E-010	0.0001520989
781.229	0.000222	0.0043137788		0.173432838	0.0229203257			3.63744354633687E-010	0.0001519927
779.771	0.000222	0.0043137788		0.173109162	0.0228775497			3.65105869944875E-010	0.0001525616
778.309	0.000223	0.0043332103		0.173562907	0.0229375152			3.68129616276973E-010	0.0001538251
776.86	0.000223	0.0043332103		0.17323978	0.0228948118			3.69504168401047E-010	0.0001543995
775.41	0.000222	0.0043137788		0.17214102	0.0227496032			3.6922421801101E-010	0.0001542825
773.979	0.000221	0.0042943474		0.171049359	0.0226053328			3.68921460275718E-010	0.000154156
772.55	0.000221	0.0042943474		0.17073355	0.0225635965			3.70287524199431E-010	0.0001547268
771.132	0.000221	0.0042943474		0.170420172	0.0225221815			3.71650586479374E-010	0.0001552963
769.721	0.000221	0.0042943474		0.170108341	0.0224809709			3.73014404339947E-010	0.0001558662
768.312	0.000221	0.0042943474		0.169796952	0.0224398187			3.74383793914216E-010	0.0001564384
