#Diameter(nm)	Absorption	normalised		volume	Normalised			Nb	normalised
931.734	0.000043	0.0004652723		0.040064562	0.0029482245			4.95318521896751E-011	1.15504810195209E-005
929.932	0.000043	0.0004652723		0.039987076	0.0029425226			4.97240014588747E-011	1.15952888833235E-005
928.147	0.000043	0.0004652723		0.039910321	0.0029368744			4.99154424506058E-011	1.16399315817811E-005
926.361	0.000042	0.000454452		0.038907162	0.0028630551			4.89427947132969E-011	1.14131169416694E-005
924.587	0.000041	0.0004436317		0.037908067	0.0027895349			4.79610067805051E-011	1.11841708719872E-005
922.821	0.000041	0.0004436317		0.037835661	0.0027842068			4.81447481176173E-011	0.000011227
921.068	0.000041	0.0004436317		0.037763788	0.0027789178			4.8328183124401E-011	1.12697938237546E-005
919.326	0.000041	0.0004436317		0.037692366	0.0027736621			4.85115075538686E-011	1.13125437967391E-005
917.59	0.00004	0.0004328114		0.0367036	0.002700902			4.75075514621861E-011	1.10784282676648E-005
915.875	0.000039	0.0004219911		0.035719125	0.0026284576			4.64934954091119E-011	0.000010842
914.162	0.000039	0.0004219911		0.035652318	0.0026235414			4.66679020840368E-011	1.08826279134155E-005
912.459	0.000039	0.0004219911		0.035585901	0.002618654			4.68422652129888E-011	1.09232881738829E-005
910.755	0.00004	0.0004328114		0.0364302	0.0026807833			4.82232929412955E-011	1.12453341676841E-005
909.07	0.000041	0.0004436317		0.03727187	0.0027427192			4.96122821387335E-011	1.15692367203262E-005
907.397	0.000042	0.000454452		0.038110674	0.0028044441			5.10099164539973E-011	1.18951552538966E-005
905.733	0.000042	0.000454452		0.038040786	0.0027993013			5.11975180355099E-011	1.19389026287817E-005
904.069	0.000042	0.000454452		0.037970898	0.0027941584			5.13861564501442E-011	1.19828917858889E-005
902.427	0.000043	0.0004652723		0.038804361	0.0028554903			5.28012609808399E-011	1.23128842513402E-005
900.784	0.000043	0.0004652723		0.038733712	0.0028502915			5.29940521241115E-011	1.23578417956808E-005
899.161	0.000042	0.000454452		0.037764762	0.0027789895			5.19486621009267E-011	1.21140641639752E-005
897.537	0.000042	0.000454452		0.037696554	0.0027739703			5.21368235957022E-011	1.21579421067116E-005
895.924	0.000042	0.000454452		0.037628808	0.0027689851			5.23247243535649E-011	1.22017592474262E-005
894.322	0.000042	0.000454452		0.037561524	0.0027640339			5.25123509256801E-011	1.22455124499447E-005
892.719	0.000043	0.0004652723		0.038386917	0.0028247719			5.3955894820482E-011	1.2582136775922E-005
891.136	0.000044	0.0004760926		0.039209984	0.0028853388			5.54070080729624E-011	1.29205262230956E-005
889.553	0.000044	0.0004760926		0.039140332	0.0028802134			5.56043821138957E-011	1.29665524670733E-005
887.989	0.000043	0.0004652723		0.038183527	0.0028098051			5.45322332490138E-011	1.27165348608974E-005
886.427	0.000043	0.0004652723		0.038116361	0.0028048626			5.47245883936479E-011	1.27613907334094E-005
884.876	0.000043	0.0004652723		0.038049668	0.0027999548			5.49165977215619E-011	1.28061659638843E-005
883.323	0.000043	0.0004652723		0.037982889	0.0027950408			5.51098689211112E-011	1.28512354539867E-005
881.79	0.000043	0.0004652723		0.03791697	0.00279019			5.53016535107846E-011	0.000012896
880.255	0.000043	0.0004652723		0.037850965	0.0027853329			5.54946931471761E-011	0.000012941
878.732	0.000042	0.000454452		0.036906744	0.0027158507			5.43921726120018E-011	1.26838737013027E-005
877.222	0.000042	0.000454452		0.036843324	0.0027111838			5.45795889546691E-011	1.27275778797864E-005
875.719	0.000041	0.0004436317		0.035904479	0.0026420972			5.34631214877248E-011	1.24672254860082E-005
874.217	0.000041	0.0004436317		0.035842897	0.0026375655			5.36469902341077E-011	1.2510102389885E-005
872.725	0.00004	0.0004328114		0.034909	0.002568843			5.2517634640102E-011	1.22467445751419E-005
871.244	0.00004	0.0004328114		0.03484976	0.0025644837			5.26963325102787E-011	1.22884156669032E-005
869.772	0.00004	0.0004328114		0.03479088	0.0025601509			5.28748497314563E-011	0.00001233
